instrument,stock_name,score,T_peak,peak_close,pre_peak_surge,bear_weeks,drawdown_ratio,trough_date,trough_close,drawdown_in_range,bear_duration_ok,base_start,base_end,base_weeks,vol_med_base,base_formed,trigger_week,trigger_recency_days,close_vs_ma120,close_vs_ma250,vr,launch_ma,launch_volume_vr,launch_volume_base,pre_trigger_big_days,quiet_pre_trigger,current_close_vs_ma20w,current_close_vs_ma120w,recent_3m_big_days,post_trigger_ret_pct,post_trigger_big_days,merge_sources,rank_4a,score_4a,rank_4b,score_4b,detail_4b,mode,date_start,close_start,date_end,close_end,ret
300193.SZ,佳士科技,65,2022-01-14,11.83,True,103,0.5421,2024-02-02,5.416630657821552,True,True,,,,,False,2024-04-05,49,1.0085,,0.697,True,False,False,1.0,True,1.0854,1.0259,1,2.99,1.0,['4A'],71.0,65.0,,,,,2024-05-24,7.53235409721882,2024-08-23,6.642519630537195,-11.81
002249.SZ,大洋电机,79,2022-01-07,7.34,True,104,0.4884,2024-02-02,3.7554620161485652,True,True,,,,,False,2024-04-26,28,1.0015,,1.377,True,True,False,1.0,True,1.0369,0.9582,0,-3.02,0.0,['4A'],19.0,79.0,,,,,2024-05-24,4.80179451224253,2024-08-23,4.233754697085039,-11.83
300717.SZ,华信新材,62,2019-04-12,18.57,False,144,0.474,2024-02-09,9.768109445954373,True,True,,,,,False,2024-05-03,21,1.0106,,0.8297,True,False,False,2.0,True,1.077,1.0088,1,-0.2,0.0,['4A'],98.0,62.0,,,,,2024-05-24,14.63291033953743,2024-08-23,12.898898795314734,-11.85
603320.SH,迪贝电气,62,2019-05-31,19.62,False,137,0.5529,2024-02-09,8.771713792641046,True,True,,,,,False,2024-04-12,42,1.0473,,0.6685,True,False,False,4.0,False,1.0739,1.062,1,1.83,0.0,['4A'],93.0,62.0,,,,,2024-05-24,13.693655723709275,2024-08-23,12.057789550786845,-11.95
000089.SZ,深圳机场,62,2019-09-30,10.68,False,118,0.451,2024-02-02,5.863059241670031,True,True,,,,,False,2024-04-26,28,1.0083,,2.2246,True,True,False,0.0,True,1.064,1.0182,0,-0.28,0.0,['4A'],96.0,62.0,,,,,2024-05-24,6.85958087827638,2024-08-23,6.024661018255539,-12.17
600720.SH,中交设计,64,2022-05-20,14.57,True,84,0.4492,2024-01-19,8.024574932194236,True,True,,,,,False,2024-04-19,35,1.1014,,5.7142,True,True,False,0.0,True,1.0049,0.9173,0,-16.15,0.0,['4A'],84.0,64.0,,,,,2024-05-24,9.36044669528631,2024-08-23,8.22095468174555,-12.17
601068.SH,中铝国际,69,2019-03-22,8.37,False,82,0.5424,2022-10-28,3.83,True,True,2023-05-26,2024-01-19,34.0,36188105.0,True,2024-01-26,119,1.0152,,1.478,True,True,False,1.0,True,0.9816,0.9201,1,-11.46,2.0,['4A'],56.0,69.0,,,,,2024-05-24,4.559855947969267,2024-08-23,4.000449913749942,-12.27
300127.SZ,银河磁体,66,2019-06-14,22.48,False,134,0.4448,2024-02-02,12.481209758890808,True,True,,,,,False,2024-04-12,42,1.0239,,4.7959,True,True,False,1.0,True,1.023,0.9261,1,-9.71,0.0,['4A'],65.0,66.0,,,,,2024-05-24,15.179141386600058,2024-08-23,13.282579243602367,-12.49
600026.SH,中远海能,62,,,True,30,0.4477,2023-05-26,,,,,,,,,2024-02-02,112,,,0.8233,True,,,,,1.1429,1.3582,0,35.17,,['4B'],,,19.0,62.0,,4B_fresh_breakout,2024-05-24,16.1707618933199,2024-08-23,14.14182332368472,-12.55
002023.SZ,海特高新,50,2019-05-31,13.82,False,136,0.5163,2024-02-02,6.685281401729523,True,True,,,,,False,2024-04-05,49,1.1196,,1.9265,True,True,False,3.0,False,1.0618,1.0182,4,-9.67,2.0,['4A'],154.0,50.0,,,,,2024-05-24,9.659756479049138,2024-08-23,8.44001959006465,-12.63
